Pathway	Genes of pathway	Enzymes of pathway	Accession
1-butanol degradation	PP_3553 // acsA-I // aldB-I // pedI // pedE // pedH // fadE // PP_2217 // fadBA // fadB // hbd // yqeF // bktB // PP_2215	"acyl-CoA synthetase // acyl-CoA synthetase // aldehyde dehydrogenase // aldehyde dehydrogenase // Ca<sup>2+</sup>-dependent quinoprotein alcohol dehydrogenase // lanthanide-dependent quinoprotein ethanol dehydrogenase // medium-long chain acyl-CoA dehydrogenase // enoyl-CoA hydratase // type II 3-hydroxyacyl-CoA dehydrogenase // fatty acid oxidation complex, &alpha; component // 3-hydroxybutyryl-CoA dehydrogenase // acetyl-CoA acetyltransferase // &beta;-ketothiolase BktB // acetyl-CoA acetyltransferase"	PP_3553 // PP_4487 // PP_0545 // PP_2680 // PP_2674 // PP_2679 // PP_1893 // PP_2217 // PP_2214 // PP_2136 // PP_3755 // PP_4636 // PP_3754 // PP_2215
2-aminoethylphosphonate degradation I	phnW // phnX	2-aminoethylphosphonate--pyruvate transaminase // phosphonoacetaldehyde hydrolase	PP_2209 // PP_2208
2-deoxy-D-ribose degradation I	rbsK	ribokinase	PP_2458
2-deoxy-D-ribose degradation II	PP_2784 // gnl // iorA-II // PP_3622 // garK // yqeF // bktB // PP_2215 // aacs	"short-chain dehydrogenase/reductase family oxidoreductase // gluconolactonase // 2-deoxy-D-ribose dehydrogenase // glycerate kinase // acetyl-CoA acetyltransferase // &beta;-ketothiolase BktB // acetyl-CoA acetyltransferase // acetoacetyl-CoA synthetase"	PP_2784 // PP_1170 // PP_3621 // PP_3622 // PP_3178 // PP_4636 // PP_3754 // PP_2215 // PP_3071
2-methylcitrate cycle I	PP_2213 // acs // PP_3724 // prpE // prpC // prpD // mmgF // acnB	acyl-CoA synthetase // acyl-CoA synthetase // acyl-CoA synthetase // propionyl-CoA synthetase // methylcitrate synthase // 2-methylcitrate dehydratase // 2-methylisocitrate lyase // aconitate hydratase B	PP_2213 // PP_3458 // PP_3724 // PP_2351 // PP_2335 // PP_2338 // PP_2334 // PP_2339
2-oxoglutarate decarboxylation to succinyl-CoA	sucA // sucB // lpdG	2-oxoglutarate dehydrogenase subunit E1 // 2-oxoglutarate dehydrogenase dihydrolipoyltranssuccinylase subunit // 2-oxoglutarate dehydrogenase system // lipoamide dehydrogenase lpdG dimer	PP_4189 // PP_4188 // PP_4187
2-oxoisovalerate decarboxylation to isobutanoyl-CoA	bkdAA // bkdAB // bkdB // lpdV	branched-chain 2-oxo acid dehydrogenase complex dehydrogenase component // branched-chain 2-oxo acid dehydrogenase complex // branched-chain 2-oxo acid dehydrogenase complex dihydrolipoyl dehydrogenase component	PP_4401 // PP_4402 // PP_4403 // PP_4404
3-dehydroquinate biosynthesis I	aroB // aroF-II // aroF-I // aroH	3-dehydroquinate synthase // tyr-sensitive phospho-2-dehydro-3-deoxyheptonate aldolase // tyr-sensitive phospho-2-dehydro-3-deoxyheptonate aldolase // 3-deoxy-7-phosphoheptulonate synthase	PP_5078 // PP_3080 // PP_2324 // PP_1866
3-oxoadipate degradation	pcaJ // pcaI // paaJ // pcaF-I	3-oxoadipate CoA-transferase // 3-oxoadipyl-CoA/3-oxo-5,6-dehydrosuberyl-CoA thiolase // beta-ketoadipyl-CoA thiolase	PP_3952 // PP_3951 // PP_3280 // PP_1377
4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis	thiD // thiC	phosphomethylpyrimidine kinase // phosphomethylpyrimidine synthase	PP_4782 // PP_4922
4-aminobenzoate biosynthesis	pabB // pabC	aminodeoxychorismate synthase/para-aminobenzoate synthase // 4-amino-4-deoxychorismate lyase	PP_2329 // PP_1917
4-aminobutanoate degradation I	sad-II // sad-I	NAD+-dependent succinate semialdehyde dehydrogenase // NAD+-dependent succinate semialdehyde dehydrogenase	PP_3151 // PP_2488
4-aminobutanoate degradation II	gabD-II	succinate-semialdehyde dehydrogenase	PP_4422
4-aminobutanoate degradation III			
4-coumarate degradation (aerobic)	fcs // ech // vdh // pobA	feruloyl-CoA-synthase // feruloyl-CoA hydratase-lyase // vanillin dehydrogenase // 4-hydroxybenzoate 3-monooxygenase	PP_3356 // PP_3358 // PP_3357 // PP_3537
4-hydroxybenzoate biosynthesis II (bacteria)	ubiC	chorismate pyruvate-lyase	PP_5317
4-hydroxyphenylpyruvate biosynthesis	tyrB // PP_4692	aromatic amino acid aminotransferase // aspartate/tyrosine/aromatic aminotransferase	PP_1972 // PP_4692
4-oxopentanoate degradation	fadA // fadA // bktB // yqeF // PP_2215 // fadB // lvaC // lvaB // lvaA // lvaD // lvaE	"fatty acid oxidation complex, &beta; component // 3-ketoacyl-CoA thiolase // &beta;-ketothiolase BktB // acetyl-CoA acetyltransferase // acetyl-CoA acetyltransferase // fatty acid oxidation complex, &alpha; component // acyl-CoA dehydrogenase family protein // 4-hydroxypentanoyl-CoA kinase // short-chain dehydrogenase/reductase family oxidoreductase // short/medium chain acyl-CoA synthetase"	PP_2137 // PP_2051 // PP_3754 // PP_4636 // PP_2215 // PP_2136 // PP_2793 // PP_2792 // PP_2791 // PP_2794 // PP_2795
4-sulfocatechol degradation	pcaH // pcaG // PP_3646	protocatechuate 3,4-dioxygenase // aldehyde dehydrogenase family protein	PP_4656 // PP_4655 // PP_3646
5,6-dimethylbenzimidazole biosynthesis I (aerobic)	ribF // msuE // bluB	bifunctional riboflavin kinase/FMN adenylyltransferase // FMN reductase // 5,6-dimethylbenzimidazole synthase	PP_0602 // PP_2764 // PP_1674
5-aminoimidazole ribonucleotide biosynthesis I	purF // purD // purN // purL // purM	amidophosphoribosyl transferase // phosphoribosylamine--glycine ligase // phosphoribosylglycinamide formyltransferase // phosphoribosylformylglycinamidine synthase // phosphoribosylformylglycinamidine cyclo-ligase	PP_2000 // PP_4823 // PP_1664 // PP_1037 // PP_1665
5-aminoimidazole ribonucleotide biosynthesis II	purF // purD // purL // purM // purT	amidophosphoribosyl transferase // phosphoribosylamine--glycine ligase // phosphoribosylformylglycinamidine synthase // phosphoribosylformylglycinamidine cyclo-ligase // phosphoribosylglycinamide formyltransferase	PP_2000 // PP_4823 // PP_1037 // PP_1665 // PP_1457
5-oxo-L-proline metabolism	oplA // oplB // PP_4176	5-oxoprolinase // 5-oxo-L-prolinase	PP_3515 // PP_3514 // PP_4176
6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	folK // PP_0393 // folB // folEB // folEA-II // folEA-I	2-amino-4-hydroxy-6- hydroxymethyldihydropteridine diphosphokinase // 2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase // dihydroneopterin aldolase // GTP cyclohydrolase I // GTP cyclohydrolase I // GTP cyclohydrolase I	PP_4698 // PP_0393 // PP_0392 // PP_3324 // PP_2512 // PP_1823
8-amino-7-oxononanoate biosynthesis I	bioH // PP_4635 // PP_1852 // fabA // fabZ // PP_0581 // PP_2175 // PP_2503 // PP_2783 // fabG // bioC // PP_2781 // PP_2779 // fabF // PP_3303 // fabB // bioF	pimeloyl-ACP methyl ester esterase // trans-2-enoyl-CoA reductase // enoyl-ACP reductase // 3R-3-hydroxydecanoyl-ACP dehydratase // 3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ // 3-oxoacyl-ACP reductase // 3-oxoacyl-ACP reductase // 3-oxoacyl-ACP reductase // 3-oxoacyl-ACP reductase // 3-oxoacyl-ACP reductase subunit // malonyl-ACP O-methyltransferase // beta-ketoacyl synthase // beta-ketoacyl-ACP synthase II // 3-oxoacyl-ACP synthase // 3-oxoacyl-ACP synthase // 8-amino-7-oxononanoate synthase	PP_0364 // PP_4635 // PP_1852 // PP_4174 // PP_1602 // PP_0581 // PP_2175 // PP_2503 // PP_2783 // PP_1914 // PP_0365 // PP_2781 // PP_2779 // PP_1916 // PP_3303 // PP_4175 // PP_0363
8-oxo-(d)GTP detoxification I	PP_1348	MutT/nudix family protein/thiamine-phosphate pyrophosphorylase	PP_1348
acetate and ATP formation from acetyl-CoA I	purT // maeB // pta	phosphoribosylglycinamide formyltransferase // malic enzyme B // phosphate acetyltransferase	PP_1457 // PP_5085 // PP_0774
acetate conversion to acetyl-CoA	acsA-II // acsA-I	acetyl-CoA synthetase // acyl-CoA synthetase	PP_4702 // PP_4487
acrylonitrile degradation I	PP_5629 // PP_2932 // PP_0613	protease/amidase // amidase family protein // amidase family protein	PP_5629 // PP_2932 // PP_0613
acyl-ACP thioesterase pathway	tesA	acyl-CoA thioesterase I/protease I/lysophospholipase L1	PP_2318
acyl-CoA hydrolysis	tesB // PP_2308 // tesA // estP	acyl-CoA thioesterase II // acyl-CoA thioesterase II // acyl-CoA thioesterase I/protease I/lysophospholipase L1 // esterase EstP	PP_4762 // PP_2308 // PP_2318 // PP_0418
adenine salvage	xpt // PP_0747 // PP_0591 // apt	xanthine phosphoribosyltransferase // hypoxanthine-guanine phosphoribosyltransferase // adenosine deaminase // adenine phosphoribosyltransferase	PP_5265 // PP_0747 // PP_0591 // PP_4266
adenosine deoxyribonucleotides de novo biosynthesis	nrdA // nrdB // ndk	ribonucleoside-diphosphate reductase // nucleoside diphosphate kinase	PP_1179 // PP_1177 // PP_0849
adenosine nucleotides degradation II	ppnP // PP_0591 // xdhC // xdhA // xdhB // PP_4234 // PP_2531 // PP_0094 // yrfG // ushA // surE	Pyrimidine/purine nucleoside phosphorylase // adenosine deaminase // xanthine dehydrogenase // bifunctional aldehyde oxidase/xanthine dehydrogenase // 5-nucleotidase // 5'-nucleotidase // purine nucleotidase // 5'-nucleotidase/2',3'-cyclic phosphodiesterase // 5'-nucleotidase SurE	PP_4248 // PP_0591 // PP_4280 // PP_4278 // PP_4279 // PP_4234 // PP_2531 // PP_0094 // PP_0259 // PP_1414 // PP_1620
adenosine nucleotides degradation III	amn	AMP nucleosidase	PP_4779
adenosine ribonucleotides de novo biosynthesis	purA // purB // adk	adenylosuccinate synthetase // adenylosuccinate lyase // adenylate kinase	PP_4889 // PP_4016 // PP_1506
adenosylcobalamin biosynthesis from adenosylcobinamide-GDP I	cobS // PP_1680 // cobU	adenosylcobinamide-GDP ribazoletransferase // alpha-ribazole-5'-phosphate phosphatase // nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	PP_1681 // PP_1680 // PP_1679
adenosylcobalamin salvage from cobalamin	pduO	corrinoid adenosyltransferase PduO	PP_1349
adenosylcobinamide-GDP biosynthesis from cobyrinate a,c-diamide	cobQ // cobP // cobC // cobD // cobO	adenosyl-cobyric acid synthase // adenosylcobinamide kinase/adenosylcobinamide phosphate guanyltransferase // adenosylcobinamide-phosphate synthase // bifunctional cob(I)alamin adenolsyltransferase/cobinamide ATP-dependent adenolsyltransferase	PP_1677 // PP_1678 // PP_1676 // PP_1675 // PP_1672
adenosylcobinamide-GDP salvage from cobinamide I	cobP	adenosylcobinamide kinase/adenosylcobinamide phosphate guanyltransferase	PP_1678
aerobic respiration I (cytochrome c)	petC // petA // nuoN // nuoK // nuoI // nuoB // nuoA // nuoF // nuoG // nuoJ // nuoL // nuoM // nuoC // nuoE // nuoH // ccoN-I // ccoP-I // ccoQ-I // ccoO-I // sdhC // sdhA // sdhB // sdhD	cytochrome <i>bc1</i> complex // NADH:ubiquinone reductase (H<small><sup>+</sup></small>-translocating) // cytochrome <i>cbb<sub>3</sub></i>-1 terminal oxidase // succinate dehydrogenase	PP_1319 // PP_1317 // PP_4131 // PP_4128 // PP_4126 // PP_4120 // PP_4119 // PP_4123 // PP_4124 // PP_4127 // PP_4129 // PP_4130 // PP_4121 // PP_4122 // PP_4125 // PP_4250 // PP_4253 // PP_4252 // PP_4251 // PP_4193 // PP_4191 // PP_4190 // PP_4192
alginate biosynthesis II (bacterial)	algD // alg8 // yhhS // PP_3132 // PP_3126 // PP_3128 // PP_3127 // algL // algX // algK // algG // algJ // algE // algI	GDP-mannose 6-dehydrogenase // glycosyltransferase Alg8 // poly(beta-D-mannuronate) C5 epimerase // carbohydrate efflux transporter // polysaccharide transporter // polysaccharide biosynthesis/export protein // exopolysaccharide biosynthesis/transport protein // alginate production protein AlgE // alginate lyase // alginate biosynthesis protein AlgX // alginate biosynthesis protein AlgK // poly(beta-D-mannuronate) C5 epimerase // alginate O-acetylase // alginate production protein AlgE // alginate O-acetylase AlgI	PP_1288 // PP_1287 // PP_4492 // PP_3132 // PP_3126 // PP_3128 // PP_3127 // PP_1281 // PP_1282 // PP_1285 // PP_1283 // PP_1279 // PP_1284 // PP_1280
alginate degradation	kguK // algL	2-ketogluconokinase // alginate lyase	PP_3378 // PP_1281
allantoin degradation to glyoxylate III	allA // puuE // hyuC // PP_0614 // allE	ureidoglycolate lyase // allantoinase // bifunctional N-carbamoyl-beta-alanine amidohydrolase/allantoine amidohydrolase // bifunctional N-carbamoyl-beta-alanine amidohydrolase/allantoine amidohydrolase // S-ureidoglycine aminohydrolase	PP_4288 // PP_4286 // PP_4034 // PP_0614 // PP_3530
allantoin degradation to ureidoglycolate I (urea producing)	puuE	allantoinase	PP_4286
allantoin degradation to ureidoglycolate II (ammonia producing)	puuE // hyuC // PP_0614 // allE	allantoinase // bifunctional N-carbamoyl-beta-alanine amidohydrolase/allantoine amidohydrolase // bifunctional N-carbamoyl-beta-alanine amidohydrolase/allantoine amidohydrolase // S-ureidoglycine aminohydrolase	PP_4286 // PP_4034 // PP_0614 // PP_3530
ammonia assimilation cycle III	glnA // PP_4547 // PP_4399 // PP_3148 // gltB // gltD	glutamine synthetase // glutamine synthetase // glutamine synthetase // glutamine synthetase // L-glutamate synthase	PP_5046 // PP_4547 // PP_4399 // PP_3148 // PP_5076 // PP_5075
anhydromuropeptides recycling II	anmK // nagZ // amiC // ampD // amiD // PP_2269 // PP_4799 // mpl // mupP // amgK // murU	"anhydro-N-acetylmuramic acid kinase // beta-N-acetylglucosaminidase // N-acetylmuramoyl-L-alanine amidase // N-acetyl-anhydromuramyl-L-alanine-amidase // 1,6-anhydro-N-acetylmuramyl-L-alanine amidase // N-acetylmuramoyl-L-alanine amidase // muramoyltetrapeptide carboxypeptidase // UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl- meso-diaminopimelate ligase // <i>N</i>-acetyl-&beta;-muramate 6-phosphate phosphatase // <i>N</i>-acetyl-D-muramate 1-kinase // <i>N</i>-acetyl-&alpha;-D-muramate 1-phosphate uridylyltransferase"	PP_0434 // PP_2145 // PP_4897 // PP_0789 // PP_0130 // PP_2269 // PP_4799 // PP_0547 // PP_1764 // PP_0405 // PP_0406
arginine dependent acid resistance	speA	biosynthetic arginine decarboxylase	PP_0567
aromatic compounds degradation via ?-ketoadipate	catA1 // catA2 // catB // catC // pcaJ // pcaI // paaJ // pcaF-I // pcaH // pcaG // pcaB // pcaD // pcaC	catechol 1,2-dioxygenase // catechol 1,2-dioxygenase // muconate cycloisomerase 1 // muconolactone delta-isomerase // 3-oxoadipate CoA-transferase // 3-oxoadipyl-CoA/3-oxo-5,6-dehydrosuberyl-CoA thiolase // beta-ketoadipyl-CoA thiolase // protocatechuate 3,4-dioxygenase // 3-carboxy-cis,cis-muconate cycloisomerase // 3-oxoadipate enol-lactonase // 4-carboxymuconolactone decarboxylase	PP_3713 // PP_3166 // PP_3715 // PP_3714 // PP_3952 // PP_3951 // PP_3280 // PP_1377 // PP_4656 // PP_4655 // PP_1379 // PP_1380 // PP_1381
arsenate detoxification	arsC2 // arsC1 // arsC3 // arsB1 // arsB2	arsenate reductase // arsenate reductase // arsenate reductase // arsenite/antimonite transporter // arsenite/antimonite transporter	PP_2716 // PP_1928 // PP_1645 // PP_1929 // PP_2717
assimilatory sulfate reduction I	PP_0860 // cysI // cysH // cysD // cysNC	sulfite reductase flavoprotein subunit // sulfite reductase hemoprotein subunit beta // phosphoadenosine phosphosulfate reductase // sulfate adenylyltransferase // sulfate adenylyltransferase subunit 1/adenylyl-sulfate kinase	PP_0860 // PP_2371 // PP_2328 // PP_1303 // PP_1304
atrazine degradation I (aerobic)	oguA // codA	8-oxoguanine deaminase // cytosine deaminase/isoguanine deaminase	PP_2584 // PP_3189
benzoate degradation	benD // benC // benB // benA	1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase // benzoate 1,2-dioxygenase	PP_3164 // PP_3163 // PP_3162 // PP_3161
biotin biosynthesis from 8-amino-7-oxononanoate I	bioD // bioB // bioA	dethiobiotin synthetase // biotin synthase // adenosylmethionine--8-amino-7-oxononanoate aminotransferase BioA	PP_0366 // PP_0362 // PP_4984
biotin biosynthesis I	bioH // PP_4635 // PP_1852 // fabA // fabZ // PP_0581 // PP_2175 // PP_2503 // PP_2783 // fabG // bioC // PP_2781 // PP_2779 // fabF // PP_3303 // fabB // bioF // bioD // bioB // bioA	pimeloyl-ACP methyl ester esterase // trans-2-enoyl-CoA reductase // enoyl-ACP reductase // 3R-3-hydroxydecanoyl-ACP dehydratase // 3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ // 3-oxoacyl-ACP reductase // 3-oxoacyl-ACP reductase // 3-oxoacyl-ACP reductase // 3-oxoacyl-ACP reductase // 3-oxoacyl-ACP reductase subunit // malonyl-ACP O-methyltransferase // beta-ketoacyl synthase // beta-ketoacyl-ACP synthase II // 3-oxoacyl-ACP synthase // 3-oxoacyl-ACP synthase // 8-amino-7-oxononanoate synthase // dethiobiotin synthetase // biotin synthase // adenosylmethionine--8-amino-7-oxononanoate aminotransferase BioA	PP_0364 // PP_4635 // PP_1852 // PP_4174 // PP_1602 // PP_0581 // PP_2175 // PP_2503 // PP_2783 // PP_1914 // PP_0365 // PP_2781 // PP_2779 // PP_1916 // PP_3303 // PP_4175 // PP_0363 // PP_0366 // PP_0362 // PP_4984
biotin-carboxyl carrier protein assembly	birA // accC // accD // accA	bifunctional biotin-[acetyl-CoA-carboxylase] ligase/biotin operon repressor BirA // acetyl-CoA carboxylase biotin carboxylase subunit // acetyl-CoA carboxylase carboxyltransferase	PP_0437 // PP_0558 // PP_1996 // PP_1607
bis(guanylyl molybdenum cofactor) biosynthesis	mobA	molybdenum cofactor guanylyltransferase	PP_3457
cadaverine biosynthesis	ldcC // PP_4871	lysine decarboxylase // lysine decarboxylase family protein	PP_4140 // PP_4871
cardiolipin biosynthesis I	pgpA // clsB // clsA // pgsA	phosphatidylglycerophosphatase A // cardiolipin synthase // cardiolipin synthase // CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase	PP_0520 // PP_3264 // PP_5364 // PP_4097
catechol degradation III (ortho-cleavage pathway)	catA1 // catA2 // catB // catC // pcaD // pcaJ // pcaI // paaJ // pcaF-I	catechol 1,2-dioxygenase // catechol 1,2-dioxygenase // muconate cycloisomerase 1 // muconolactone delta-isomerase // 3-oxoadipate enol-lactonase // 3-oxoadipate CoA-transferase // 3-oxoadipyl-CoA/3-oxo-5,6-dehydrosuberyl-CoA thiolase // beta-ketoadipyl-CoA thiolase	PP_3713 // PP_3166 // PP_3715 // PP_3714 // PP_1380 // PP_3952 // PP_3951 // PP_3280 // PP_1377
catechol degradation to ?-ketoadipate	catA1 // catA2 // catB // catC // pcaD	catechol 1,2-dioxygenase // catechol 1,2-dioxygenase // muconate cycloisomerase 1 // muconolactone delta-isomerase // 3-oxoadipate enol-lactonase	PP_3713 // PP_3166 // PP_3715 // PP_3714 // PP_1380
CDP-diacylglycerol biosynthesis I	cdsA // plsC // PP_0058 // plsB // plsY // gpsA	CTP:phosphatidate cytidyltransferase // 1-acyl-sn-glycerol-3-phosphate acyltransferase // 1-acyl-sn-glycerol-3-phosphate acyltransferase // glycerol-3-phosphate acyltransferase // glycerol-3-phosphate acyltransferase // glycerol-3-phosphate dehydrogenase	PP_1596 // PP_1844 // PP_0058 // PP_1520 // PP_0391 // PP_4169
CDP-diacylglycerol biosynthesis II	cdsA // gpsA // plsC // PP_0058 // plsB // plsY	CTP:phosphatidate cytidyltransferase // glycerol-3-phosphate dehydrogenase // 1-acyl-sn-glycerol-3-phosphate acyltransferase // 1-acyl-sn-glycerol-3-phosphate acyltransferase // glycerol-3-phosphate acyltransferase // glycerol-3-phosphate acyltransferase	PP_1596 // PP_4169 // PP_1844 // PP_0058 // PP_1520 // PP_0391
cellulose biosynthesis	bcsB // bcsA	cellulose synthase	PP_2636 // PP_2635
chitin degradation II (Vibrio)	nagZ	beta-N-acetylglucosaminidase	PP_2145
chlorpyrifos degradation	PP_5654	phosphotriesterase	PP_5654
choline degradation I	betB // betA-II // betA-I	NAD-dependent betaine aldehyde dehydrogenase // choline dehydrogenase // choline dehydrogenase	PP_5063 // PP_5064 // PP_0056
choline-O-sulfate degradation	betC // betB // betA-II // betA-I	choline-sulfatase // NAD-dependent betaine aldehyde dehydrogenase // choline dehydrogenase // choline dehydrogenase	PP_0077 // PP_5063 // PP_5064 // PP_0056
chorismate biosynthesis from 3-dehydroquinate	aroC // tyrA // aroK // PP_3768 // aroE // PP_2406 // aroQ-III // aroQ-II // aroQ-I	chorismate synthase // prephenate dehydrogenase // shikimate kinase // shikimate 5-dehydrogenase // shikimate 5-dehydrogenase // quinate/shikimate dehydrogenase // type II 3-dehydroquinate dehydratase // type II 3-dehydroquinate dehydratase // type II 3-dehydroquinate dehydratase	PP_1830 // PP_1770 // PP_5079 // PP_3768 // PP_0074 // PP_2406 // PP_3003 // PP_2407 // PP_0560
